xp,yp,gpz,vor,up,vp,sp,active,chi
4.84,-2.8,0,0,0.99,0.0343827,0.16,0,0
5,-2.8,0,0,0.989174,0.0321962,0.16,0,0
4.52,-2.64,0,0,0.989753,0.0404691,0.16,0,0
4.68,-2.64,0,0,0.988566,0.0377912,0.16,0,0
4.84,-2.64,0,0,0.987645,0.0352516,0.16,0,0
5,-2.64,0,0,0.986951,0.0328575,0.16,0,0
5.16,-3.76,0,0,0.997825,0.0254282,0.16,0,0
5.32,-3.76,0,0,0.996975,0.0243077,0.16,0,0
5.48,-3.76,0,0,0.996237,0.0232088,0.16,0,0
5.64,-3.76,0,0,0.995602,0.0221379,0.16,0,0
5.16,-3.6,0,0,0.996633,0.0263292,0.16,0,0
5.32,-3.6,0,0,0.995807,0.0250871,0.16,0,0
5.48,-3.6,0,0,0.9951,0.023878,0.16,0,0
5.64,-3.6,0,0,0.9945,0.0227079,0.16,0,0
5.16,-3.44,0,0,0.995309,0.0272045,0.16,0,0
5.32,-3.44,0,0,0.994519,0.0258329,0.16,0,0
5.48,-3.44,0,0,0.993855,0.024508,0.16,0,0
5.64,-3.44,0,0,0.993302,0.0232347,0.16,0,0
5.16,-3.28,0,0,0.993845,0.0280397,0.16,0,0
5.32,-3.28,0,0,0.993106,0.0265319,0.16,0,0
5.48,-3.28,0,0,0.992499,0.0250861,0.16,0,0
5.64,-3.28,0,0,0.992006,0.0237063,0.16,0,0
4.52,-3.76,0,0,1.00256,0.0299346,0.16,0,0
4.68,-3.76,0,0,1.00116,0.0288289,0.16,0,0
4.84,-3.76,0,0,0.999905,0.0276999,0.16,0,0
5,-3.76,0,0,0.998798,0.0265623,0.16,0,0
4.52,-3.6,0,0,1.00139,0.0314406,0.16,0,0
4.68,-3.6,0,0,0.999957,0.0301664,0.16,0,0
4.84,-3.6,0,0,0.998695,0.02888,0.16,0,0
5,-3.6,0,0,0.997592,0.0275969,0.16,0,0
4.52,-3.44,0,0,1.00003,0.0329764,0.16,0,0
4.68,-3.44,0,0,0.998586,0.0315154,0.16,0,0
4.84,-3.44,0,0,0.997327,0.0300566,0.16,0,0
5,-3.44,0,0,0.99624,0.0286155,0.16,0,0
4.52,-3.28,0,0,0.998471,0.0345285,0.16,0,0
4.68,-3.28,0,0,0.997026,0.0328615,0.16,0,0
4.84,-3.28,0,0,0.995786,0.0312148,0.16,0,0
5,-3.28,0,0,0.994732,0.0296036,0.16,0,0
6.44,0.72,-2.34117e-06,-9.1452e-05,0.973799,-0.00726073,0.16,1,0
